Restaurant name,Contacted about Rewards,Offer delivery/takeout during forced closure,Contact Email,Website,Last Contact Date,POC,Location,Restaurant Group,Type of Service,Contact Name,Decison Maker,Decision Maker's Phone,Visited (old),Emailed,Had Interview,Interested,Signed contract,Phone #,"Has loyalty 
or rewards?",Best time to call,Address
Calo Ristorante,y,,frank@calorestaurant.com,http://www.calorestaurant.com/index.html,02/15/20,Dan,Andersonville,,FS,Greg,Frank,,"y, g",,,,,(773) 271-7782,n,11am-4pm,
Campagnola,,,Unlisted,https://campagnolarestaurant.com/,,,Evanston,,FS,,,,,,,,,,,,
Cantina Laredo,y,n,Contact Form,https://www.cantinalaredo.com/location/chicago/,02/15/20,Dan,,Franchise,FS,Alex,TJ,,y,,y,y,y,(312) 955-0014,,11:30am-10pm,
Capriottis,y,,andy@capriottischicago.com,,02/09/20,Jake,,,FS,,,,,,,,,,,,
Carlucci Rosemont,y,,Contact Form,http://www.carluccirosemont.com/,02/15/20,Dan,Rosemont,,FS,,,,,,,,,,,,
Carmine's,y,,Contact Form,http://www.rosebudrestaurants.com/restaurant/carmine/,02/15/20,Dan,,Rosebuds,FS,Shannon,,,y,,,,,(312) 988-7676,,9am-12am,
Carnitas Uruapan,,,,,,,Pilsen,,,,,,,,,,,,,,
Carnivale,y,,Contact Form,https://www.carnivalechicago.com/,02/21/20,Dan,West Loop,,FS,,,,,,,,,,,,
Caro Mio,,,,,,,Ravenswood,,,,,,,,,,,,,,
Carson's The Place for Ribs,y,,Contact Form,https://www.ribs.com/,02/26/20,Dan,,,FS,,,,,,,,,,,,
Casa Yari,,,,https://www.yelp.com/biz/casa-yari-chicago,,,,,FS,,,,,,,,,(773) 661-9546,,,
Casati’s Pizza Vino,y,,Contact Form,https://www.cpvino.com/,02/22/20,Dan,Lincoln Park,,FS,,,,,,,,,,n,,
Casey Morans,,,Unlisted,http://caseymorans.com/,,,,Casey Morans Group,,,,,n,,,,,(773) 755-4444,,,
Caspian Kabab Fine Persian Cuisine,,,,https://www.yelp.com/biz/caspian-kabab-fine-persian-cuisine-chicago,,,Wicker Park,,FS,,,,,,,,,,,,
Castle Food & Liquor,,,,,,,Edgewater,,,,,,,,,,,,,,
Catch 35,y,,Contact Form,http://www.catch35.com/,02/15/20,Dan,The Loop,,FS,,,,,,,,,,,,
Cedar Palace,y,,Contact Form,https://www.cedarpalacechicago.com/,02/15/20,Dan,Lincoln Park,,FS,,,,y,,,,,(312) 643-0933,,,
Cellars Bar and Grill,,,,,,,Edgewater,,,,,,,,,,,,,,
Ceres' Table,y,,info@cerestable.com,https://www.cerestable.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Cesar’s Killer Margaritas,y,,info@KillerMargaritasClark.com,https://www.killermargaritas.com/,02/25/20,Dan,Lake View,,FS,,,,,,,,,,,,
Cescas Margarita Bar & Grill,,,,,,,Andersonville,,,,,,,,,,,,,,
Chant Restaurant,y,,Contact Form,https://www.chantchicago.com/,02/15/20,Dan,,,FS,Karina,,,y,,,,,(773) 324-1999,,11:30am-12am,
Cheesie’s Pub and Grub,y,,Contact Form,https://www.cheesies.com/,02/21/20,Dan,Lake View,,CS/FS,,,,,,y,y,,,,,
Chengdu Impression,y,,Contact Form,https://www.chengduimpression.com/,02/21/20,Dan,Lincoln Park,,FS,,,,,,,,,,,,
Chens,,,,,,,,Third Coast,,,,,y,,,,,,,,
Chez Joel Bistro,y,,Contact Form,https://www.chezjoelbistro.com/,02/21/20,Dan,Litttle Italy,,FS,,,,,,,,,,,,
Chez Moi,y,,chad@chezmoichicago.com,https://www.chezmoichicago.com/,02/21/20,Dan,Lake View,,FS,,,,y,,,,,,,,
Chi Cafe,,,,,,,Chinatown,,,,,,,,,,,,,,
Chicago Bagel Authority,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Chicago Chop House,,,Unlisted,https://chicagochophouse.com/,,,River North,,FS,,,,,,,,,,,,
Chicago Curry House,,,,,,,South Loop,,,,,,,,,,,,,,
Chicago Curry House Restaurant,y,,info@curryhouseonline.com,http://curryhouseonline.com/,02/15/20,Dan,,,FS,,,,,,,,,(312) 362-9999,,10:30am-9:30pm,
Chicago Diplomat Cafe,,,,https://www.yelp.com/biz/chicago-diplomat-cafe-chicago,,,,,,,,,,,,,,,,,
Chicago Health Foods,y,,chicago.health@yahoo.com,,03/06/20,Jake,,,CS,,,,,,,,,,,,
Chicago Kalbi Restaurant,,,Unlisted,https://chicago-kalbi.com/,,,,,FS,,,,,,,,,,,,
Chicago Pizza and Oven Grinder Company,y,,Contact Form,http://chicagopizzaandovengrinder.com/,02/15/20,Dan,,,,,,,,,,,,(773) 248-2570,,773-248-7788,
Chicago Q,y,,carlosA@latsko.com,https://chicagoqrestaurant.com/,03/01/20,Jake,River North,Latsko,FS,Carlos,,,y,y,,,,(312) 642-1160,,11am-10:30pm,
Chicago Waffles,y,,Contact Form,https://www.chicagowaffles.com/,02/15/20,Dan,,,,,,,y,,,,,(312) 854-8572,,,
Chicago’s Dog House,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Chicago’s Home Of Chicken & Waffles,,,,,,,Grand Boulevard,,,,,,,,,,,,,,
Chicken Shop,y,,chris.pomrenke@sohohouse.com,http://www.chickenshop.com/en/chicago,02/15/20,Dan,,,FS,,,,y,,,,,,,,
ChicSox,,,Unlisted,https://www.facebook.com/pages/category/American-Restaurant/Turtles-Bar-Grill-145578408799521/,,,,Gibson's Restaurant Group,,,,,,,,,,,,,
Chief O’Neill’s Pub & Restaurant,,,,,,,Avondale,,,,,,,,,,,,,,
Chilam Balam,y,,info@chilambalamchicago.com,http://www.chilambalamchicago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
China Palace,,,,,,,Edgewater,,,,,,,,,,,,,,
Chiya Chai Cafe,,,,,,,Logan Square,,CS,,,,,,,,,,,,
Cho Sun Ok Restaurant,,,,,,,Bucktown,,,,,,,,,,,,,,
Chop Shop,y,,zoltan@chicagochopshop.com,https://chopshopchi.com/,02/24/20,Jake,,,FS,,,,,,,,,,,,
Chopo Chicken,y,,Contact Form,http://www.chopochicken.com/,02/15/20,Dan,Lincoln Park,,CS,,,,y,,,,,,,,
Cilantro Thai Kitchen,,,,,,,Edgewater,,,,,,,,,,,,,,
Cindy's,y,,cindysinfo@chicagoathletichotel.com,http://www.cindysrooftop.com/,02/15/20,Dan,The Loop,,FS,,,,,,,,,,,,
Cira,y,,info@cirachicago.com,https://cirachicago.com/,02/19/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
City Hall,y,,PrivateEvents@TheCityHall.com,https://thecityhall.com/,02/20/20,Dan,,Atomic,,,,,,,,,,,,,
City Mouse,y,,enquire@citymousechicago.com,https://www.citymousechicago.com/,02/21/20,Dan,West Loop,,FS,,,,,,,,,,,,
City press,y,,anthony@citypressjuice.com,,02/26/20,Jake,,,CS,,Anthony,,y,y,y,,,,,,
City Social,y,,manager@citysocialchicago.com,https://www.citysocialchicago.com/,02/15/20,Dan,,Tavern Collective,FS,,,,y,,y,y,,,,,
City View Loft,,,,,,,,LM Restaurant Group,,,,,,,,,,,,,
City Winery,,,,,,,West Loop,,,,,,,,,,,,,,
City Works,y,,Contact Form,https://www.cityworksrestaurant.com/,02/22/20,Dan,"Several, too far",Bottleneck Management,,,,,,,,,,,,,
Clever Rabbit,y,,info@cleverrabbitchicago.com,http://www.cleverrabbitchicago.com/,02/15/20,Dan,Ukrainian Village,,FS,,,,,,,,,,,,
Club Lago,y,,Contact Form,http://www.clublago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Club Lucky,,,Unlisted,https://www.clubluckychicago.com/,,,,,FS,,,,,,,,,,,,
Coalfire,,,Unlisted,https://coalfirechicago.com/,,,Near West Side,,,,,,,,,,,(312) 226-2625,,,
Coast Sushi Bar,,,unlisted,http://coastsushi.net/,,,,,FS,,,,,,,,,,,,
Cochon Volant,y,,cochonvolant@eatwelldone.com,http://www.cochonvolantchicago.com/,02/15/20,Dan,The Loop,,FS,,,,,,,,,,,,
Cochon Volant Brasserie,,,,,,,The Loop,,,,,,,,,,,,,,
Cocina Boricua,,,,https://www.yelp.com/biz/cocina-boricua-chicago,,,Bucktown,,FS,,,,,,,,,,,,
Cocina Tarascas Mexican Restaurant,y,,tarascas@hotmail.com,http://www.cocinatarascas.com/,02/25/20,Jake,Lake View,,FS,,,,y,y,y,y,,,,,
Coco Pazzo,,,marcov@cocopazzorestaurants.com,https://www.cocopazzochicago.com/,,,River North,,FS,"Marco 
(Director of 
Operations)",,,y,,y,,,312-836-0900,,"Friday 3pm 
OTHER LOCATION
IN PERSON",
Coconutz,y,,Contact Form,https://coconutzchicago.com/,02/19/20,Dan,,Lodge Management Group,,,,,,,,,,,,,
CoCoRo,,,Unlisted,https://cocorosushi.squarespace.com/,,,,,FS,,,,,,,,,,,,
Coda di Volpe,y,,Contact Form,https://www.cdvolpe.com/,02/21/20,Dan,,Gage Hospitality Group,,,,,,,,,,,,,
Coffee Alley,y,,masoud.jaefari@gmail.com,,02/12/20,,Little Italy,,CS,,,,,,,,,,,,
Coffee Slasticarna Drina,,,,https://www.yelp.com/biz/coffee-slasticarna-drina-chicago,,,Ravenswood,,FS,,,,,,,,,,,,
Coldstorage,,,Unlisted,https://www.coldstoragechicago.com/,,,,B Hospitality,,,,,,,,,,,,,
Colectivo,,,,,,,Andersonville,,,,,,,,,,,,,,
Collectivo Coffee,y,,jasonp@colectivocoffee.com,,02/24/20,Jake,,,CS,,,,,,,,,,,,
Community Tavern,y,,communitytavern@gmail.com,https://www.communitytavern.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Compass Bar,y,,info@compassbarchicago.com,https://www.compassbarchicago.com/,02/02/20,Jake,Lincoln Park,,FS,,,,n,,,,,,,,
Connie's Pizza,y,,Contact Form,https://www.conniespizza.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Connie’s Pizza,,,,,,,Chinatown,,,,,,,,,,,,,,
Conrad's Grill,y,,narmour@conradsgrillchicago.com,,02/22/20,Jake,,,FS,,,,,,,,,,,,
Copper Fox,y,,yesenia.castaneda@copperfoxchicago.com,https://copperfoxchicago.com/,02/19/20,Dan,River North,,FS,,,,y,,,,,,,,
Corcoran's Grill & Pub,y,,Contact Form,https://corcoransoldtown.com/,02/19/20,Dan,,Vaughan Hospitality,,,,,y,,,,,(312) 440-0885,,,
Cork & Kerry,y,,Contact Form,https://corkandkerrybeverly.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Corner Bakery Cafe,y,,cb0167@cornerbakerycafe.com,,02/15/20,,,Franchise,CS,,,,,,,,,,,,
Cornerstone Cafe,y,,info@cornerstonecafechicago.com,http://chicagocornerstonecafe.com/,02/15/20,Dan,Bucktown,,CS/FS,,,,,,,,,,,,
Cozy Corner Restaurant,,,Unlisted,https://www.cozycornerrestaurant.com/,,,,,FS,,,,g,,,,,,,,
Cozy Noodles & Rice,y,,tee_cozy@hotmail.com,http://www.cozychicago.com/home/index.asp,02/22/20,Dan,Lake View,,FS,,,,,,,,,,,,
Crab & Oyster,,,,,,,,LEYE,,,,,,,,,,,LEYE,,
Crab Cellar,,,,,,,,LEYE,,,,,,,,,,,LEYE,,
Craft Pizza,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
Crave Kabob,,,,,,,Near West Side,,,,,,,,,,,,,,
Crepe Shop,,,,,,,,,,,,,,,,,,,,,
Crisp,y,,cbuckner.crisp@gmail.com,https://www.yelp.com/biz/crisp-chicago,02/25/20,Jake,Lincoln Park,,CS,Calvin,,,,,,,,,,,
Crosby's Kitchen,y,,crosbysinfo@4srg.com,http://www.crosbyschicago.com/,02/15/20,Dan,Lake View,4star,,,,,n,,,,,,,,
Cruz Blanca,,,,https://www.rickbayless.com/restaurants/cerveceria-cruz-blanca/,,,,Rick Bayless,FS,,,,,,,,,,,,
Cucina Paradiso,y,,Contact Form,https://www.cucinaoakpark.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Cumin,y,,info@cumin-chicago.com,https://cumin-chicago.com/,03/01/20,Jake,,,FS,Rajesh,,,,,,,,,,,
Cupitol Coffee & Eatery,y,,cup@cupitol.com,https://cupitol.com/,02/19/20,Dan,,,CS,,,,,,,,,,,,
Current,y,,info@currentchicago.com,http://www.currentchicago.com/,02/15/20,Dan,River North,,FS,,,,,,,,,,,,
D Cuisine,,,,https://www.yelp.com/biz/d-cuisine-chicago-3,,,Lincoln Park,,FS,,,,,,,,,,,,
D.O.C. Wine Bar,y,,docwestinfo@4srg.com,http://www.docwinebarchicago.com/,02/15/20,Dan,,4star,,,,,,,,,,,,,
D&J Bistro,,,Unlisted,http://www.dj-bistro.com/,,,Lake Zurich,,FS,,,,,,,,,,,,
D4 Irish Pub & Cafe,,,,,,,River East,,,,,,,,,,,,,,
Daily Bar & Grill,y,,amy@sparetimechicago.com,http://dailybar.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Dak,,,,,,,Edgewater,,CS,,,,,,,,,,,,
Danke,y,,dankechicago@gmail.com,,03/04/20,Jake,,,,Karen,,,,,,,,,,,
Dao Thai,,,,,,,Near North Side,,,,,,,,,,,,,,
Dao Thai Restaurant,y,,daothairestaurant@gmail.com,https://daothai.com/,02/22/20,Jake,,,FS,,,,n,,,,,,,,
Dark Matter Coffee,,,,,,,Bucktown,,CS,,,,,,,,,,,,
Davanti Enoteca,y,,Contact Form,https://www.davantienoteca.com/location/chicago-little-italy/,02/15/20,Dan,,,FS,,,,y,,,,,,,,
Deep Purpl,y,,gabriel@deeppurplchicago.com ,,03/01/20,Jake,Union Station,,CS,Gabe,Gabe,3122414727,y,y,y,y,y,,,,
Del Seoul,,,Contact Form (broken),https://delseoul.com/,,,,,CS,,,,,,,,,,,,
Demera Ethiopian Restaurant,y,,Contact Form,http://demerachicago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Deuce's,y,,info@deucesmlb.com,https://www.deucesmlb.com/,02/22/20,Dan,,Casey Morans Group,,,,,,,,,,,,,
Devereaux,y,,info@devereauxchicago.com,https://www.devereauxchicago.com/,02/22/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
Devil Dawgs,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
Devon Seafood,y,,3153@devonseafood.com,https://devonseafood.com/,02/19/20,Dan,,Houlihan's,FS,Ian,,,y,,,,,,,,
Di Pescara,y,,Contact Form,https://www.di-pescara.com/,02/22/20,,,LEYE,FS,,,,,,,,,,,,
Dimo’s Pizza,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
Dine,,,,https://www.yelp.com/biz/dine-chicago,,,,,FS,,,,,,,,,,,,
Dinkel’s Bakery,,,,,,,Lake View,,CS,,,,,,,,,,,,
Dirty Root,y,,connor@dirty-root.com,,02/09/20,Jake,,,CS,,,,,,,,,,,,
Ditka's,y,,"alopez@ditkasrestaurant.com, Contact Form",https://www.ditkasrestaurants.com/location-ditkas-chicago/,02/22/20,Dan,,,,,,,y,,,,,(312) 587-8989,,,
Diva Thai & Sushi Bar,y,,divadiva3542@gmail.com,https://divathai.carry-out.com/default.asp,02/25/20,Jake,Buena Park,,,,,,,,,,,(773) 857-0571,,,
DMK Burger Bar,y,,info@dmkrestaurants.com,https://dmkburgerbar.com/,02/19/20,Dan,,,FS,,,,n,,,,,,,,
Do-Rite Donuts & Chicken,,,,,,,Near North Side,,,,,,,,,,,,,,
Do-Rite Donuts & Coffee,y,,Contact Form,https://www.doritedonuts.com/,02/22/20,Dan,,,CS,,,,,,,,,,,,
Doc B’s,y,,lindsey.wuenker@docbs.com,https://docbsrestaurant.com/,02/19/20,Dan,Near North Side,,FS,,,,y,,,,,,,,
Dog Haus Biergarten,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Dollop,y,,"dan@dollopcoffee.com, Contact Form",https://www.dollopcoffee.com/,02/24/20,Jake,,,CS,,,,y,,,,,,,,
Dolo Restaurant and Bar,,,,https://www.yelp.com/biz/dolo-restaurant-and-bar-chicago-3,,,,,FS,,,,,,,,,,,,
Don Juan Restaurante,y,,info@donjuanschicago.com,https://donjuanschicago.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Don Pedro Carnitas,,,,https://www.yelp.com/biz/don-pedro-carnitas-chicago,,,,,CS,,,,,,,,,,,,
Dos Caminos,,,,,,,,Landry's,,,,,,,,,,,,,
Dos Toros,y,,laurenj@dostoros.com,,03/01/2020,,Clark,Franchise,CS,Lauren,,,,,,,,,,,
Doughnut Vault,y,,contact@doughnutvault.com,http://doughnutvault.com/,02/15/20,Dan,,,CS,,,,,,,,,,,,
Dove's Luncheonette,y,,justin@doveschicago.com,http://www.doveschicago.com/,02/22/20,Jake,Wicker Park,,,,,,,,,,,,,,
Downtown Dogs,y,,Contact Form,https://downtowndogschicago.com/,02/19/20,Dan,,,CS,,,,,,,,,,,,
Drew's on Halsted,y,,Contact Form,https://drewsonhalsted.com/,02/19/20,Dan,,,,,,,,,,,,,,,
Drew’s on Halsted,,,,,,,,,,,,,,,,,,,,,
DryHop Brewers,y,,matt@dryhopchicago.com,https://dryhopchicago.com/,02/25/20,Jake,Lake View,,FS,,,,,,,,,,,,
DS Tequila Company,y,,dusty@dstequila.com,,02/25/20,Jake,Lake View,,FS,,Dusty,,y,y,,,,,,,
Dublin 4 Irish Pub and Cafe,y,,lauren@d4pub.com,http://www.d4pub.com/,02/15/20,Dan,River North,,FS,Lauren,,,y,,,,,(312) 624-8385,,,
Duck duck goat,,,Unlisted,http://duckduckgoatchicago.com/,,,,Boka Restaurant Group,,,,,,,,,,,,,
Duke of Perth,y,,"info@dukeofperth.com, feedback@dukeofperth.com",http://dukeofperth.com/main.htm,02/15/20,Dan,Lake View,,FS,,,,,,,,,,,,
Dusek's,y,,info@dusekschicago.com,https://www.dusekschicago.com/,02/22/20,Dan,,16 on center,FS,,,,,,,,,,,,
DUSEK'S BOARD & BEER,,,,,,,,16 on center,,,,,,,,,,,,,
Dusek’s Board & Beer,,,,,,,Pilsen,,,,,,,,,,,,,,
Dutch and Docs,,,,https://www.dutchanddocs.com/,,,,Boka Restaurant Group,,,,,,,,,,,,,
Dynamic African Restaurant Cuisine,,,,,,,Edgewater,,,,,,,,,,,,,,
E + O Food and Drink,,,,,,,,,Closed,,,,,,,,,,,,
Earth's Kitchen,,,,https://www.yelp.com/biz/earths-kitchen-chicago,,,,,,,,,,,,,,,,,
Eataly,y,,guestrelationschi@eataly.com,https://www.eataly.com/us_en/stores/chicago/,02/22/20,Dan,,,CS/FS,,,,,,,,,,,,
Eats,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Edge of Sweetness,,,,,,,Edgewater,,CS,,,,,,,,,,,,
Edgewater Tacos,,,,,,,Edgewater,,CS,,,,,,,,,,,,
Eduardo’s Enoteca,y,y,Contact Form,https://www.eduardosenoteca.com/,03/02/20,Jake,,Bravo Restaurants,FS,Byrd,Byrd,7737082591,y,y,y,y,y,,,,
Edzo’s Burger Shop,,,,,,,Evanston,,CS,,,,,,,,,,,,
Eggsperience Pancakes & Cafe,y,,Contact Form,https://www.eggsperiencecafe.com/,02/22/20,Dan,,Small Chain,,,,,,,,,,(773) 904-8802,,6am-2:30pm,
Eggy's Diner,y,,Contact Form,https://www.eggysdiner.com/,02/22/20,Dan,The Loop,,FS,Nick (GM),Jason,,g,,,,,773.234.3449,,,
Eire Cafe,y,,eriecafe@gmail.com,http://www.eriecafe.com/,02/15/20,Dan,River North,,FS,,,,,,,,,,,,
EJ's Place,,,Unlisted,http://ejsplaceskokie.com/,,,Skokie,,FS,,,,,,,,,,,,
El Barco,,,,,,,West Town,,,,,,,,,,,,,,
El Che Bar,y,,info@elchechicago.com,https://elchechicago.com/,02/19/20,Dan,West Loop,,FS,,,,,,,,,,,,
El Cubanito,,,,https://www.yelp.com/biz/el-cubanito-chicago,,,,,CS,,,,,,,,,,,,
El Diamante Azul Restaurant,,,,,,,Andersonville,,,,,,,,,,,,,,
El Habanero,,,,https://www.yelp.com/biz/el-habanero-chicago,,,Logan Square,,FS,,,,,,,,,,,,
El Hefe,y,n,ericsanchez@riothg.com,,03/04/20,Jake,Near North Side,,FS,Eric,Eric,6025707903,y,y,y,y,y,,,,
El Jardin,,,Unlisted,http://eljardinchicago.com/,,,,,FS,,,,,,,,,,,,
El Mariachi Tequila Bar & Grill,y,,jorge@elmariachihospitalitygroup.com,http://elmariachitequilabar.com/,02/15/20,Dan,Lake View,,FS,Josh,Mike or Tony,,y,,,,,(773) 549-2932,,,
El Nandu,y,,Contact Form,https://elnandurestaurant.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
El Nuevo Mexicano,y,,Contact Form,https://www.elnuevomexicano.net/,02/22/20,Dan,Lake View,,FS,,,,,,,,,,,,
El Taco Azteca,,,,,,,Pilsen,,,,,,,,,,,,,,
Elaine's,,,,https://www.yelp.com/biz/elaines-coffee-call-chicago,,,,Boka Restaurant Group,,,,,,,,,,,,,
Elephant & Castle,,,,,,,The Loop,,,,,,,,,,,,,,
Elevate Coffee,,,,,,,,,,,,,,,,,,,,,
Eleven City Diner,,,Unlisted,https://www.elevencitydiner.com/,,,,,CS/FS,,,,,,,,,,,,
Eleven Eleven,y,,Referred by Jeff in PYROS,https://elevenelevenchicago.com/,02/27/20,Dan,West Loop,,FS,Justin,Ahmed,,,,y,y,,,,,
Ella Elli,y,,info@ellaellichicago.com,http://ellaellichicago.com/,02/15/20,Dan,,4star,,,,,,,,,,,,,
Ema,n,,Contact Form,https://www.emachicago.com/,,,,LEYE,FS,,,,y,,,,,(312) 527-5586,LEYE,11:30am-11pm,
Emerald Loop,,,,,,,,Vaughan Hospitality,,,,,,,,,,,,,
Emilio's Tapas Bar & Restaurant,y,,contact@emiliostapas.com,https://emiliostapas.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Emperor's Choice,,,Unlisted,https://emperorschoicerestaurant.com/2016/02/25/home/,,,,,FS,,,,,,,,,,,,
En Hakkore,,,Unlisted,http://www.enhakkorechicago.com/home,,,Wicker Park,,CS,,,,,,,,,,,,
En Hakkore 2.0,,,,https://www.yelp.com/biz/en-hakkore-2-0-chicago-15,,,Wicker Park,,FS,,,,,,,,,,,,
En Lai Asian Grill,,,,,,,Edgewater,,,,,,,,,,,,,,
ENO,,,Unlisted,https://www.enowinerooms.com/intercontinental-chicago,,,,Cornerstone,FS,,,,,,,,,,,,
Enolo Wine Cafe,y,,arossi@enolowinecafe.com,https://enolowinecafe.com/,02/19/20,Dan,River North,,FS,Anthony,,,"y, g",,,,,(312) 477-7674,,Call around dinner,
Enso Sushi & Bar,y,,Contact Form,http://www.ensochicago.com/,02/15/20,Dan,Wicker Park,,FS,,,,y,,,,,,,,
Entente,y,,Contact Form,https://www.ententechicago.com/,02/22/20,Dan,River North,Fujimura,FS,,,,,,,,,,,,
Epic Burger,,,,https://epicburger.com/,,,,Franchise,CS,,,,n,,,,,,,,
Eppel's Restaurant,,,Unlisted,https://www.allmenus.com/il/chicago/277873-eppels-restaurant/menu/,,,,,,,,,,,,,,,,,
Esencia,y,,info@esenciachicago.com,,02/25/20,Jake,,,,,,,,,,,,,,,
Estelle’s,y,,Contact Form,http://estelleschicago.com/,02/15/20,Dan,,,FS,,,,y,,,,,,,,
Estrella Negra,y,,Contact Form,https://estrellanegra.com/,02/19/20,Dan,Bucktown,,FS,,,,,,,,,,,,
ETA Restaurant + Bar,y,,kathleen.oconnell@loewshotels.com,https://www.etarestaurantandbar.com/,02/22/20,Dan,River North,,FS,,,,,,,,,,,,
Ethiopian Diamond,y,,info@ethiopiandiamondrestaurants.com,https://www.ethiopiandiamondrestaurants.com/,02/22/20,Dan,Edgewater,,FS,,,,,,,,,,,,
Etta,y,,jrosales@ettarestaurant.com,,02/24/20,Jake,Wicker Park,,FS,,,,,,,,,,,,
Everest,,,,,,,,LEYE,,,,,,,,,,,LEYE,,
Everybody’s Coffee,,,,,,,Uptown,,,,,,,,,,,,,,
Exchequer,,,Unlisted,https://www.exchequerpub.com/,,,,,,,,,,,,,,,,,
Fado,,,Unlisted,https://fadoirishpub.com/chicago/,,,,,,,,,y,,,,,,,,
Fado Irish Pub,,,,,,,River North,,,,,,,,,,,,,,
Fairgrounds Coffee and Tea,y,,zmassaro@coffeeandteabars.com,,03/01/20,Jake,Wicker Park,Small Chain,CS,Zach,,,y,y,n,,,,,,
Falafel & Grill,y,,falafelngrill@gmail.com,https://falafelngrill.com/,02/22/20,Jake,Wicker Park,,CS,,,,,,,,,,,,
Fare,y,,Alec@foodbyfare.com,,03/01/2020,Jake,,,CS,Alec,,,y,y,,,,,,,
Farm Bar,y,,info@farm-bar.com,https://farm-bar.com/,02/19/20,Dan,Lake View,Farmheads,,,,,,,,,,,,,
Farmhouse Chicago (Evanston),y,,"amanda@farmhousechicago.com, bonni@farmhousechicago.com",https://farmhouseevanston.com/,02/19/20,Dan,,Farmheads,,,,,y,,,,,,,,
Farmhouse Chicago (River North),y,,"amanda@farmhousechicago.com, bonni@farmhousechicago.com",https://farmhousechicago.com/,02/19/20,Dan,River North,Farmheads,FS,Bonni,,,y,,,,,(312) 280-4960,,11am-11pm,
Fat Baby Tacos,,,,,,,,,Closed,,,,,,,,,,,,
Fat Cat,,,Unlisted,https://www.fatcatbar.com/,,,,,FS,,,,,,,,,,,,
Fat Chris’s Pizza and Such,,,,,,,Andersonville,,CS,,,,,,,,,,,,
Fat Rice,y,,Contact Form,http://www.eatfatrice.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Fat Willy’s Rib Shack,,,Unlisted,https://www.fatwillys.com/,,,Bucktown,,FS,,,,,,,,,,,,
Fatpour,y,,Contact Form,https://www.fatpourwickerpark.com/,02/22/20,Dan,,Big Onion,,,,,y,,,,,,,,
Fatpour Tap Works,,,,,,,West Town,,,,,,y,,,,,,,,
Fatso’s Last Stand,,,,,,,Ukrainian Village,,,,,,,,,,,,,,
Federales,,,Unlisted,https://federaleschicago.com/,,,,Four Corners,,,,,,,,,,,,,
Feed,,,,,,,Humboldt Park,,,,,,,,,,,,,,
Filini,y,,zyremmae.posadas@radisson.com,https://www.filinichicago.com/,02/22/20,Dan,The Loop,Radisson,FS,,,,y,,,,,(312) 477-0234,,,
Firecakes Donuts,y,,events@firecakesdonuts.com,,02/15/20,,Lincoln Park,Franchise,CS,,,,,,,,,,,,
Firenze Italian Street Food,,,,,,,West Loop,,,,,,,,,,,,,,
Fireside Restaurant,,,,,,,Andersonville,,,,,,,,,,,,,,
First Slice Pie Cafe,,,,,,,Andersonville,,CS,,,,,,,,,,,,
Fish & GT Oyster,y,,info@gtoyster.com,https://www.gtoyster.com/,02/22/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
Fish Bar,y,,info@dmkrestaurants.com,https://www.dmkrestaurants.com/fish-bar,02/22/20,Dan,,,FS,,,,,,,,,,,,
Flaco’s Tacos,,,,,,,Edgewater,,,,,,,,,,,,,,
Flash Taco,y,,info@flashtacofoodtruck.com,,03/06/20,Jake,Wicker Park,,CS,,,,,,,,,,,,
Flat Top Grill,,,,,,,The Loop,,,,,,,,,,,,,,
Flo,,,,,,,Noble Square,,,,,,,,,,,,,,
Flo & Santos,,,,,,,Near Southside,,,,,,,,,,,,,,
Floriole Cafe & Bakery,,,,https://www.yelp.com/biz/floriole-cafe-and-bakery-chicago-2,,,,,CS/FS,,,,,,,,,,,,
Flub A Dub Chub’s,,,,,,,Lake View,,CS,,,,,,,,,,,,
Fogo de Chao,,,,https://fogodechao.com/location/chicago/,,,River North,,FS,,,,,,,,,,,,
Folklore Argentine Grill,,,,,,,West Town,,,,,,,,,,,,,,
Foodease,,,,,,,,LEYE,,,,,,,,,,,LEYE,,
